지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),지면상태(지면상태코드),지면온도(°C)
108,서울,2024-01-02 22:00,2.3,,2,290,72,1010.1,,,,10,10,,-.1
108,서울,2024-01-02 23:00,2.3,,1.2,290,73,1009.9,,,,10,10,,-.1
108,서울,2024-01-03 00:00,2.4,,1.7,340,72,1009.6,,,,9,9,,-.1
108,서울,2024-01-03 01:00,2.3,,1.6,340,74,1009.3,,,,10,10,,-.2
108,서울,2024-01-03 02:00,2.2,,1,340,74,1008.9,,,,10,10,,-.2
108,서울,2024-01-03 03:00,2.1,,.3,0,75,1008.9,,,,9,9,,-.2
108,서울,2024-01-03 04:00,2,,.4,0,77,1008.3,,,,9,9,,-.2
108,서울,2024-01-03 05:00,2.2,,.9,290,77,1007.9,,,,9,9,,-.2
108,서울,2024-01-03 06:00,2.2,,.7,290,78,1007.7,,,,9,9,,-.2
108,서울,2024-01-03 07:00,2.2,,.8,270,78,1007.7,,,,10,6,,-.2
108,서울,2024-01-03 08:00,2.3,,1.5,270,80,1007.7,0,,,10,9,,-.1
108,서울,2024-01-03 09:00,2.1,.1,2,270,85,1008.2,0,,,10,7,,-.1
108,서울,2024-01-03 10:00,1.8,,1,250,90,1008.3,0,,,10,8,,-.1
108,서울,2024-01-03 11:00,2.4,,1.6,180,89,1007.7,0,,,10,8,,-.1
108,서울,2024-01-03 12:00,3,.5,1.4,180,89,1007.4,0,,,10,7,,.3
108,서울,2024-01-03 13:00,3.8,,1,290,84,1006.6,0,,,10,8,,3.1
108,서울,2024-01-03 14:00,3.4,,2.8,320,85,1006.5,0,,,10,8,,2.4
108,서울,2024-01-03 15:00,3.2,0,2.2,360,83,1006.7,0,,,9,5,,3
108,서울,2024-01-03 16:00,3.7,,2.5,320,75,1007.2,.4,,,8,8,,2.4
108,서울,2024-01-03 17:00,3,,2.7,320,77,1007.8,.8,,,0,0,,0
108,서울,2024-01-03 18:00,2.3,,2.5,270,82,1008.7,0,,,1,1,,-.1
108,서울,2024-01-03 19:00,1.7,,1,250,82,1009.2,,,,0,0,,-.1
108,서울,2024-01-03 20:00,1.3,,3,270,78,1009.7,,,,0,0,,-.2
108,서울,2024-01-03 21:00,.6,,2.1,270,73,1010.2,,,,0,0,,-.4
108,서울,2024-01-03 22:00,0,,2.6,340,74,1010.7,,,,0,0,,-.5
108,서울,2024-01-03 23:00,-.5,,1.5,270,75,1011.1,,,,0,0,,-.6
108,서울,2024-01-04 00:00,-1.1,,.8,270,78,1011.3,,,,0,0,,-.7
108,서울,2024-01-04 01:00,-1.5,,.8,270,79,1011.5,,,,0,0,,-.8
108,서울,2024-01-04 02:00,-1.9,,.9,230,81,1011.5,,,,0,0,,-1
108,서울,2024-01-04 03:00,-2.2,,.9,270,80,1011.7,,,,0,0,,-1.2
108,서울,2024-01-04 04:00,-2.5,,0,0,82,1011.4,,,,0,0,,-1.4
108,서울,2024-01-04 05:00,-2.7,,1.7,20,79,1011.5,,,,0,0,,-1.6
108,서울,2024-01-04 06:00,-3.1,,2.1,50,82,1011.9,,,,0,0,,-1.8
108,서울,2024-01-04 07:00,-3.2,,2.2,50,87,1012.2,,,,0,0,,-2
108,서울,2024-01-04 08:00,-2.8,,1.5,50,87,1012.5,0,,,8,8,,-1.2
108,서울,2024-01-04 09:00,-1.8,,2.6,50,84,1012.7,0,,,8,8,,-.7
108,서울,2024-01-04 10:00,-.7,,2.9,50,83,1013.4,0,,,8,8,,-.3
108,서울,2024-01-04 11:00,.4,,3.1,50,80,1013.2,0,,,8,8,,-.2
108,서울,2024-01-04 12:00,1.4,,3,50,73,1012.4,0,,,8,8,,.3
108,서울,2024-01-04 13:00,2.5,,2.4,50,69,1011.6,0,,,8,8,,.9
108,서울,2024-01-04 14:00,3.7,,1.8,50,66,1011,.2,,,7,7,,1.9
108,서울,2024-01-04 15:00,4,,1.5,20,65,1010.1,0,,,8,8,,1.1
108,서울,2024-01-04 16:00,4.7,,2.4,180,65,1010,.2,,,7,7,,1
108,서울,2024-01-04 17:00,4.4,,2.3,200,65,1010.2,.1,,,8,8,,.1
108,서울,2024-01-04 18:00,4.5,,2.8,200,67,1009.9,0,,,8,8,,-.1
108,서울,2024-01-04 19:00,4.2,,1.8,140,70,1009.7,,,,6,6,,-.1
108,서울,2024-01-04 20:00,4.2,,1.4,160,69,1009.6,,,,3,3,,-.2
108,서울,2024-01-04 21:00,4.4,,2,160,70,1009.4,,,,8,8,,-.1
108,서울,2024-01-04 22:00,4.5,,2.2,140,71,1009.2,,,,0,0,,0
108,서울,2024-01-04 23:00,4.5,,1.8,140,71,1009.1,,,,8,8,,.1
108,서울,2024-01-05 00:00,4.1,,2.4,20,73,1008.9,,,,9,9,,.1
108,서울,2024-01-05 01:00,3.7,,1.5,20,75,1008.8,,,,0,0,,-.2
108,서울,2024-01-05 02:00,3.1,,1.6,20,79,1008.7,,,,5,5,,-.2
108,서울,2024-01-05 03:00,2.8,,1.4,50,80,1008.8,,,,8,8,,-.2
108,서울,2024-01-05 04:00,3,,2,20,82,1008.3,,,,9,9,,-.2
108,서울,2024-01-05 05:00,3.4,,1,90,83,1008.1,,,,9,9,,-.2
108,서울,2024-01-05 06:00,5,0,2.1,230,87,1008.3,,,,9,9,,.1
108,서울,2024-01-05 07:00,5.4,,2.1,230,87,1008.9,,,,9,9,,.7
108,서울,2024-01-05 08:00,5,,1.3,230,88,1009.3,0,,,9,9,,.2
108,서울,2024-01-05 09:00,5.1,,.8,250,88,1009.7,0,,,8,8,,.8
108,서울,2024-01-05 10:00,5.8,,1.3,230,87,1009.8,.1,,,1,1,,2.6
108,서울,2024-01-05 11:00,7.4,,3.4,230,77,1010.2,.9,,,7,7,,6.1
108,서울,2024-01-05 12:00,8.1,,2.8,250,68,1009.5,.4,,,6,6,,7.4
108,서울,2024-01-05 13:00,8.3,,4.4,250,64,1008.7,.8,,,4,4,,8.6
108,서울,2024-01-05 14:00,8.9,,4.4,200,60,1008.1,.9,,,2,2,,8.7
108,서울,2024-01-05 15:00,9,,3.2,270,60,1008,.9,,,2,2,,7.5
108,서울,2024-01-05 16:00,7.9,,3.2,270,63,1008.2,1,,,1,1,,4
108,서울,2024-01-05 17:00,6.6,,3.1,270,63,1008.4,.7,,,0,0,,1.4
108,서울,2024-01-05 18:00,5.4,,2.2,270,71,1008.8,0,,,0,0,,-.2
108,서울,2024-01-05 19:00,4.3,,3.1,250,77,1009,,,,0,0,,-.2
108,서울,2024-01-05 20:00,3.6,,2,270,82,1009.4,,,,0,0,,-.2
108,서울,2024-01-05 21:00,3.1,,2.3,270,83,1009.7,,,,0,0,,-.2
108,서울,2024-01-05 22:00,2.7,,2.2,250,82,1009.8,,,,0,0,,-.3
108,서울,2024-01-05 23:00,2,,1.7,270,82,1010,,,,0,0,,-.4
108,서울,2024-01-06 00:00,1.4,,2.4,270,80,1010.1,,,,0,0,,-.5
108,서울,2024-01-06 01:00,.7,,1.8,270,79,1010.1,,,,0,0,,-.6
108,서울,2024-01-06 02:00,-.1,,2.1,270,79,1010.3,,,,0,0,,-.7
108,서울,2024-01-06 03:00,-.7,,2.2,250,77,1010.7,,,,0,0,,-.9
108,서울,2024-01-06 04:00,-1.2,,2,250,70,1010.7,,,,0,0,,-1.1
108,서울,2024-01-06 05:00,-1.5,,2.4,270,69,1010.7,,,,0,0,,-1.3
108,서울,2024-01-06 06:00,-2,,1.5,290,68,1010.9,,,,0,0,,-1.4
108,서울,2024-01-06 07:00,-2,,1.8,290,65,1011.4,,,,0,0,,-1.7
108,서울,2024-01-06 08:00,-2.5,,1.5,290,66,1011.8,0,,,0,0,,-1.8
108,서울,2024-01-06 09:00,-2,,1.9,290,63,1012.1,1,,,0,0,,-1.5
108,서울,2024-01-06 10:00,-.4,,2.9,270,55,1012.4,1,,,0,0,,-.3
108,서울,2024-01-06 11:00,1.1,,1.8,270,49,1011.9,1,,,0,0,,1.4
108,서울,2024-01-06 12:00,2.9,,2.3,250,44,1011.3,1,,,0,0,,4
108,서울,2024-01-06 13:00,3.4,,2.8,290,44,1010.9,1,,,0,0,,6.1
108,서울,2024-01-06 14:00,4,,3.3,290,39,1010.3,1,,,0,0,,7.5
108,서울,2024-01-06 15:00,4.9,,3.2,270,36,1010.1,1,,,0,0,,6.4
108,서울,2024-01-06 16:00,4.9,,2.1,270,40,1009.9,1,,,0,0,,2.1
108,서울,2024-01-06 17:00,3.7,,2.2,250,42,1010.2,.7,,,3,3,,.1
108,서울,2024-01-06 18:00,2.9,0,1.6,270,46,1010.5,0,,,8,8,,-.2
108,서울,2024-01-06 19:00,1.4,,2.6,290,74,1011.1,,,,10,8,,-.2
108,서울,2024-01-06 20:00,.5,,.8,360,88,1011,,2.3,,10,8,,-.2
108,서울,2024-01-06 21:00,.4,2.4,1.6,230,91,1011.1,,6,6,9,9,,-.2
108,서울,2024-01-06 22:00,.4,,1.6,270,90,1011.2,,5.9,,7,7,,-.2
108,서울,2024-01-06 23:00,-.1,,1.2,340,89,1011.7,,5.7,,6,6,,-.2
108,서울,2024-01-07 00:00,-.9,,2.5,270,86,1012,,5.6,,1,1,,-.2
108,서울,2024-01-07 01:00,-2.1,,2.6,270,80,1012.1,,5.5,,0,0,,-.2
108,서울,2024-01-07 02:00,-2.7,,1.1,290,79,1012.3,,5.4,,0,0,,-.2
108,서울,2024-01-07 03:00,-3.2,,.1,0,80,1012.7,,5.3,,0,0,,-.2
108,서울,2024-01-07 04:00,-3.3,,1.9,270,81,1012.9,,5,,1,1,,-.2
108,서울,2024-01-07 05:00,-3.4,,1.2,270,81,1012.8,,4.8,,1,1,,-.2
108,서울,2024-01-07 06:00,-3.6,,3,270,79,1013.5,,4.6,,1,1,,-.2
108,서울,2024-01-07 07:00,-4.4,,1.5,290,71,1014,,4.5,,0,0,,-.2
108,서울,2024-01-07 08:00,-4.9,,1.7,270,66,1014.7,0,4,,0,0,,-.2
108,서울,2024-01-07 09:00,-4.6,,3.1,250,57,1015.5,.9,4,,0,0,,-.2
108,서울,2024-01-07 10:00,-3.7,,4.6,270,50,1016.2,1,3.9,,0,0,,-.2
108,서울,2024-01-07 11:00,-3.4,,5.3,290,42,1016.4,1,3.5,,0,0,,-.2
108,서울,2024-01-07 12:00,-2.5,,4.7,270,44,1015.7,1,3.2,,0,0,,-.2
108,서울,2024-01-07 13:00,-3,,6.3,290,37,1015.2,1,2.7,,0,0,,-.2
108,서울,2024-01-07 14:00,-2.1,,4,270,39,1014.9,1,2.1,,0,0,,-.2
108,서울,2024-01-07 15:00,-1.8,,4.5,250,37,1015.1,1,1.9,,0,0,,-.2
108,서울,2024-01-07 16:00,-2,,3.3,270,37,1015.3,1,1.8,,0,0,,-.2
108,서울,2024-01-07 17:00,-3.5,,3.6,290,39,1015.8,1,1.5,,0,0,,-.2
108,서울,2024-01-07 18:00,-4.6,,3.3,270,44,1016.1,.2,1.5,,0,0,,-.2
108,서울,2024-01-07 19:00,-5.3,,3.6,270,46,1016.7,,1.5,,0,0,,-.3
108,서울,2024-01-07 20:00,-5.8,,2.8,290,52,1017.1,,1.5,,0,0,,-.3
108,서울,2024-01-07 21:00,-6.7,,4.6,290,54,1017.4,,1.5,,0,0,,-.4
108,서울,2024-01-07 22:00,-7.5,,1,90,59,1017.7,,1.5,,0,0,,-.5
108,서울,2024-01-07 23:00,-8.1,,2.6,340,64,1017.6,,1.5,,0,0,,-.6
108,서울,2024-01-08 00:00,-8.3,,2.9,320,64,1017.5,,1.5,,0,0,,-.8
108,서울,2024-01-08 01:00,-8.5,,3.3,290,64,1017.4,,1.5,,0,0,,-1
108,서울,2024-01-08 02:00,-8.9,,2.1,290,65,1017.6,,1.5,,0,0,,-1.2
108,서울,2024-01-08 03:00,-9.1,,.7,290,64,1017.7,,1.5,,0,0,,-1.5
108,서울,2024-01-08 04:00,-9.4,,1.7,270,66,1017.5,,1.5,,0,0,,-1.7
108,서울,2024-01-08 05:00,-9.7,,.5,20,67,1017.2,,1.5,,0,0,,-1.9
108,서울,2024-01-08 06:00,-10.1,,2.2,50,65,1017.4,,1.5,,0,0,,-2
108,서울,2024-01-08 07:00,-10.1,,1.7,50,67,1017.5,,1.5,,0,0,,-2.1
108,서울,2024-01-08 08:00,-10.1,,1.9,50,68,1017.5,0,1.5,,0,0,,-2.3
108,서울,2024-01-08 09:00,-9,,2.7,50,66,1017.8,1,1.5,,0,0,,-2.2
108,서울,2024-01-08 10:00,-6.3,,2,160,53,1017.9,1,1.4,,0,0,,-1
108,서울,2024-01-08 11:00,-3.8,,1.3,160,48,1017.7,1,1.4,,0,0,,-.4
108,서울,2024-01-08 12:00,-2.3,,1.7,160,40,1016.9,1,1.2,,0,0,,-.3
108,서울,2024-01-08 13:00,-.8,,2.3,180,37,1016,1,1,,0,0,,-.2
108,서울,2024-01-08 14:00,-.6,,1.9,250,35,1015.2,1,.6,,2,0,,-.2
108,서울,2024-01-08 15:00,-.3,,2.1,270,34,1014.5,1,.4,,7,0,,-.1
108,서울,2024-01-08 16:00,-.7,,2.9,270,47,1014.4,1,.3,,7,0,,-.2
108,서울,2024-01-08 17:00,-1.5,,1.7,250,52,1014.7,.3,.3,,8,0,,-.2
108,서울,2024-01-08 18:00,-2.2,,1.4,270,61,1014.6,0,.3,,7,0,,-.2
108,서울,2024-01-08 19:00,-2.6,,.6,340,63,1014.4,,.3,,8,8,,-.4
108,서울,2024-01-08 20:00,-3.1,,1.3,50,66,1014.1,,.3,,5,5,,-.5
108,서울,2024-01-08 21:00,-2.9,,.7,70,68,1013.8,,.3,,8,8,,-.5
108,서울,2024-01-08 22:00,-2.1,,1.1,90,64,1013.3,,.3,,1,1,,-.5
108,서울,2024-01-08 23:00,-2.2,,1.7,20,65,1013.2,,.3,,7,7,,-.5
108,서울,2024-01-09 00:00,-1.9,,1.9,50,64,1013.2,,.3,,8,8,,-.6
108,서울,2024-01-09 01:00,-1.8,,1.2,50,63,1012.7,,.3,,7,4,,-.6
108,서울,2024-01-09 02:00,-1.7,,1.6,50,64,1011.9,,.3,,8,8,,-.7
108,서울,2024-01-09 03:00,-1.6,,2.1,50,63,1011.4,,.3,,9,9,,-.7
108,서울,2024-01-09 04:00,-1.5,,1.6,50,65,1010.6,,.3,,9,9,,-.7
108,서울,2024-01-09 05:00,-1.3,,1.7,50,65,1010.1,,.3,,9,9,,-.7
108,서울,2024-01-09 06:00,-1.1,0,2,50,66,1009.7,,.3,,9,9,,-.7
108,서울,2024-01-09 07:00,-1,,2.3,50,71,1009.6,,.3,,9,9,,-.7
108,서울,2024-01-09 08:00,-1.2,,1.9,50,74,1009.5,0,.3,,9,9,,-.7
108,서울,2024-01-09 09:00,-1.5,.4,1.6,50,86,1010.1,0,.6,.3,10,8,,-.6
108,서울,2024-01-09 10:00,-1.3,,2.6,50,88,1010,0,1,,10,8,,-.5
108,서울,2024-01-09 11:00,-.7,,2.1,50,88,1009.7,0,1.2,,10,8,,-.4
108,서울,2024-01-09 12:00,-.5,.2,2.3,50,89,1008.9,0,1.4,.8,10,7,,-.3
108,서울,2024-01-09 13:00,-.1,,2.1,50,91,1008,0,1.8,,10,9,,-.3
108,서울,2024-01-09 14:00,.1,,1.4,50,91,1007.3,0,2.7,,10,9,,-.3
108,서울,2024-01-09 15:00,.2,.7,2,50,92,1007,0,2.8,1.4,10,8,,-.3
108,서울,2024-01-09 16:00,.2,,2.1,50,92,1007.3,0,3,,10,9,,-.3
108,서울,2024-01-09 17:00,.3,,2.1,50,93,1007.4,0,3.1,,10,8,,-.3
108,서울,2024-01-09 18:00,.2,.3,2,20,91,1007.6,0,3.1,.3,9,9,,-.3
108,서울,2024-01-09 19:00,.2,,2,50,92,1007.9,,3.1,,9,9,,-.3
108,서울,2024-01-09 20:00,.1,,1.4,70,93,1007.9,,3.1,,10,4,,-.3
108,서울,2024-01-09 21:00,.1,0,1,360,92,1008,,3.1,0,9,9,,-.3
108,서울,2024-01-09 22:00,.1,,1,20,93,1008.4,,3.1,,10,6,,-.3
108,서울,2024-01-09 23:00,.4,,2.9,290,95,1008.2,,3,,9,7,,-.3
108,서울,2024-01-10 00:00,-.3,,2.4,290,93,1008.2,,3,,2,2,,-.4
108,서울,2024-01-10 01:00,-1.1,,.9,290,92,1008.2,,3,,0,0,,-.5
108,서울,2024-01-10 02:00,-1.4,,2.1,290,95,1008.5,,3,,0,0,,-.7
108,서울,2024-01-10 03:00,-1.9,,1.5,270,95,1008.7,,3,,2,2,,-.8
108,서울,2024-01-10 04:00,-2.4,,.9,290,94,1008.7,,3,,0,0,,-.9
108,서울,2024-01-10 05:00,-3.1,,.4,0,93,1008.7,,3,,0,0,,-1.1
108,서울,2024-01-10 06:00,-3.6,,.1,0,93,1008.9,,3,,0,0,,-1.3
108,서울,2024-01-10 07:00,-4.1,,1.8,50,94,1009.2,,3,,7,7,,-1.3
108,서울,2024-01-10 08:00,-3.7,,1.7,340,94,1009.7,0,2.9,,2,2,,-1.2
108,서울,2024-01-10 09:00,-3.7,,1.6,50,94,1010.3,.1,2.9,,8,8,,-1.2
108,서울,2024-01-10 10:00,-2.7,,2.3,50,94,1010.9,0,2.7,,8,8,,-.9
108,서울,2024-01-10 11:00,-1.1,,2.5,50,87,1011.1,.5,2.6,,7,7,,-.5
108,서울,2024-01-10 12:00,0,,1.8,340,82,1010.3,.4,2.5,,7,7,,-.4
108,서울,2024-01-10 13:00,1.6,,.8,90,75,1009.9,.6,2.3,,7,7,,-.3
108,서울,2024-01-10 14:00,1.5,,2.3,270,75,1009.8,.5,2.3,,6,6,,-.2
108,서울,2024-01-10 15:00,2.9,,2.2,290,71,1009.6,.9,2.2,,0,0,,-.2
108,서울,2024-01-10 16:00,3.1,,2.2,250,69,1009.8,1,2,,0,0,,-.2
108,서울,2024-01-10 17:00,1.9,,2.5,250,72,1009.9,1,2,,0,0,,-.2
108,서울,2024-01-10 18:00,.7,,1.7,270,76,1010.4,0,2,,0,0,,-.3
108,서울,2024-01-10 19:00,.1,,1.9,270,78,1010.8,,2,,0,0,,-.4
108,서울,2024-01-10 20:00,-.5,,2.3,270,84,1011.1,,2,,0,0,,-.4
108,서울,2024-01-10 21:00,-1,,1.3,270,87,1010.7,,2,,0,0,,-.5
108,서울,2024-01-10 22:00,-1.4,,2.1,250,91,1010.7,,2,,0,0,,-.6
108,서울,2024-01-10 23:00,-1.4,,1.5,200,90,1010.5,,2,,1,1,,-.6
108,서울,2024-01-11 00:00,-1.2,,1.9,270,89,1010.4,,2,,8,8,,-.5
108,서울,2024-01-11 01:00,-1.2,,1.1,290,88,1010.4,,2,,9,9,,-.5
108,서울,2024-01-11 02:00,-1.2,,2.7,200,86,1010.4,,2,,9,9,,-.5
108,서울,2024-01-11 03:00,-1.4,,2.2,200,85,1010.3,,2,,8,8,,-.5
108,서울,2024-01-11 04:00,-1.9,,1.5,180,84,1010.1,,2,,7,7,,-.7
108,서울,2024-01-11 05:00,-1.8,,1,200,85,1009.9,,2,,8,8,,-.7
108,서울,2024-01-11 06:00,-2.3,,1.6,250,86,1009.3,,2,,6,6,,-1
108,서울,2024-01-11 07:00,-2,,1.4,140,88,1009.2,,2,,8,8,,-.9
108,서울,2024-01-11 08:00,-1.7,,.6,140,86,1009.2,0,2,,8,8,,-.7
108,서울,2024-01-11 09:00,-1.1,,2.3,50,86,1008.9,0,2,,8,8,,-.6
108,서울,2024-01-11 10:00,-.4,,2,50,83,1008.7,0,2,,8,8,,-.4
108,서울,2024-01-11 11:00,.6,,1.5,360,78,1008.4,0,2,,8,8,,-.3
108,서울,2024-01-11 12:00,2.2,,1.5,200,72,1007.3,.3,1.9,,8,8,,-.3
108,서울,2024-01-11 13:00,2.9,,2.9,200,71,1006.6,.1,1,,8,8,,-.2
108,서울,2024-01-11 14:00,3.3,,3.2,200,73,1005.9,0,.9,,8,8,,-.2
108,서울,2024-01-11 15:00,4,,3.1,200,71,1005.2,0,.4,,8,8,,-.2
108,서울,2024-01-11 16:00,4.4,,3.4,200,70,1005.1,0,.2,,9,9,,-.2
108,서울,2024-01-11 17:00,4.4,,2.7,230,72,1004.9,0,,,7,7,,-.2
108,서울,2024-01-11 18:00,4.3,,2.4,200,76,1005,0,,,4,4,,-.2
108,서울,2024-01-11 19:00,4.1,,1.8,200,78,1005.1,,,,8,4,,-.3
108,서울,2024-01-11 20:00,3.9,,1.9,250,80,1005.2,,,,1,1,,-.2
108,서울,2024-01-11 21:00,3.9,,1.8,250,82,1004.9,,,,7,7,,-.2
108,서울,2024-01-11 22:00,3.8,,2.2,270,82,1005,,,,7,7,,-.2
108,서울,2024-01-11 23:00,3.8,,2.1,250,83,1005,,,,6,6,,-.2
108,서울,2024-01-12 00:00,3.6,,2.7,270,87,1005.3,,,,7,7,,-.2
108,서울,2024-01-12 01:00,3.4,,2.4,250,84,1005.5,,,,6,6,,-.2
108,서울,2024-01-12 02:00,2.6,,2.2,250,84,1006,,,,0,0,,-.3
108,서울,2024-01-12 03:00,1.8,,1.2,290,85,1006.5,,,,0,0,,-.6
108,서울,2024-01-12 04:00,1.2,,2.3,320,87,1006.6,,,,0,0,,-.7
108,서울,2024-01-12 05:00,.4,,1.5,290,87,1006.4,,,,0,0,,-.9
108,서울,2024-01-12 06:00,-.3,,1.1,270,88,1006.8,,,,0,0,,-1.1
108,서울,2024-01-12 07:00,-.6,,.9,250,90,1007.3,,,,0,0,,-1.2
108,서울,2024-01-12 08:00,-1,,.7,290,89,1007.7,0,,,0,0,,-1.5
108,서울,2024-01-12 09:00,-.6,,1.5,250,86,1008.2,.7,,,0,0,,-1.2
108,서울,2024-01-12 10:00,.5,,2.3,320,72,1008.7,1,,,0,0,,-.3
108,서울,2024-01-12 11:00,1.4,,3.2,290,55,1008.6,1,,,0,0,,-.2
108,서울,2024-01-12 12:00,2.2,,2.8,290,55,1008.2,1,,,0,0,,1.1
108,서울,2024-01-12 13:00,3.2,,2.6,270,43,1007.9,1,,,0,0,,3.9
108,서울,2024-01-12 14:00,3.4,,3.4,290,31,1007.8,1,,,0,0,,5
108,서울,2024-01-12 15:00,3.8,,3.4,270,34,1007.8,1,,,0,0,,3.9
108,서울,2024-01-12 16:00,4,,3.1,270,33,1008,1,,,0,0,,.8
108,서울,2024-01-12 17:00,2.6,,3,270,38,1008.6,1,,,0,0,,-.2
108,서울,2024-01-12 18:00,1.7,,3.4,250,47,1008.9,.2,,,0,0,,-.2
108,서울,2024-01-12 19:00,1,,2,250,52,1009.3,,,,0,0,,-.4
108,서울,2024-01-12 20:00,.6,,2.4,250,53,1009.7,,,,0,0,,-.6
108,서울,2024-01-12 21:00,.3,,2.1,250,51,1009.8,,,,0,0,,-.7
108,서울,2024-01-12 22:00,-.2,,1.3,270,49,1010.2,,,,0,0,,-.9
108,서울,2024-01-12 23:00,-.9,,1.5,270,48,1010.4,,,,0,0,,-1
108,서울,2024-01-13 00:00,-1.4,,.8,290,47,1010.9,,,,0,0,,-1.2
108,서울,2024-01-13 01:00,-1.9,,1.8,270,47,1010.7,,,,0,0,,-1.5
108,서울,2024-01-13 02:00,-1.9,,2.1,250,48,1010.7,,,,0,0,,-1.7
108,서울,2024-01-13 03:00,-2.5,,1.4,270,51,1011,,,,0,0,,-2
